"SEX","GEO","CURRENCY","INDIC_SE","SIZECLAS","ISCO08","AGE","TIME","Value","Flag and Footnotes"
"Total","European Union - 28 countries","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,541",""
"Total","European Union - 27 countries (2007-2013)","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,550",""
"Total","Euro area (19 countries)","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,670",""
"Total","Euro area (18 countries)","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,693",""
"Total","Euro area (17 countries)","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,708",""
"Total","Belgium","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,216",""
"Total","Bulgaria","Euro","Monthly earnings","10 employees or more","Total","Total","2014","431",""
"Total","Czechia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","925",""
"Total","Denmark","Euro","Monthly earnings","10 employees or more","Total","Total","2014","4,194",""
"Total","Germany (until 1990 former territory of the FRG)","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,045",""
"Total","Estonia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,066",""
"Total","Ireland","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,778",""
"Total","Greece","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,562",""
"Total","Spain","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,985",""
"Total","France","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,775",""
"Total","Croatia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,057",""
"Total","Italy","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,458",""
"Total","Cyprus","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,840",""
"Total","Latvia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","806",""
"Total","Lithuania","Euro","Monthly earnings","10 employees or more","Total","Total","2014","706",""
"Total","Luxembourg","Euro","Monthly earnings","10 employees or more","Total","Total","2014","4,206",""
"Total","Hungary","Euro","Monthly earnings","10 employees or more","Total","Total","2014","811",""
"Total","Malta","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,720",""
"Total","Netherlands","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,988",""
"Total","Austria","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,806",""
"Total","Poland","Euro","Monthly earnings","10 employees or more","Total","Total","2014","980",""
"Total","Portugal","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,249",""
"Total","Romania","Euro","Monthly earnings","10 employees or more","Total","Total","2014","521",""
"Total","Slovenia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,582",""
"Total","Slovakia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","930",""
"Total","Finland","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,232",""
"Total","Sweden","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,578",""
"Total","United Kingdom","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,151",""
"Total","Iceland","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,094",""
"Total","Norway","Euro","Monthly earnings","10 employees or more","Total","Total","2014","5,031",""
"Total","Switzerland","Euro","Monthly earnings","10 employees or more","Total","Total","2014","6,011",""
"Total","Montenegro","Euro","Monthly earnings","10 employees or more","Total","Total","2014","724",""
"Total","North Macedonia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","494",""
"Total","Serbia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","574",""
"Total","Turkey","Euro","Monthly earnings","10 employees or more","Total","Total","2014","761",""
"Males","European Union - 28 countries","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,809",""
"Males","European Union - 27 countries (2007-2013)","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,819",""
"Males","Euro area (19 countries)","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,955",""
"Males","Euro area (18 countries)","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,977",""
"Males","Euro area (17 countries)","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,991",""
"Males","Belgium","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,378",""
"Males","Bulgaria","Euro","Monthly earnings","10 employees or more","Total","Total","2014","464",""
"Males","Czechia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,034",""
"Males","Denmark","Euro","Monthly earnings","10 employees or more","Total","Total","2014","4,657",""
"Males","Germany (until 1990 former territory of the FRG)","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,404",""
"Males","Estonia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,279",""
"Males","Ireland","Euro","Monthly earnings","10 employees or more","Total","Total","2014","4,186",""
"Males","Greece","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,684",""
"Males","Spain","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,165",""
"Males","France","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,035",""
"Males","Croatia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,107",""
"Males","Italy","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,664",""
"Males","Cyprus","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,021",""
"Males","Latvia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","900",""
"Males","Lithuania","Euro","Monthly earnings","10 employees or more","Total","Total","2014","770",""
"Males","Luxembourg","Euro","Monthly earnings","10 employees or more","Total","Total","2014","4,337",""
"Males","Hungary","Euro","Monthly earnings","10 employees or more","Total","Total","2014","877",""
"Males","Malta","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,833",""
"Males","Netherlands","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,327",""
"Males","Austria","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,119",""
"Males","Poland","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,070",""
"Males","Portugal","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,365",""
"Males","Romania","Euro","Monthly earnings","10 employees or more","Total","Total","2014","533",""
"Males","Slovenia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,650",""
"Males","Slovakia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,035",""
"Males","Finland","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,610",""
"Males","Sweden","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,874",""
"Males","United Kingdom","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,574",""
"Males","Iceland","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,455",""
"Males","Norway","Euro","Monthly earnings","10 employees or more","Total","Total","2014","5,447",""
"Males","Switzerland","Euro","Monthly earnings","10 employees or more","Total","Total","2014","6,558",""
"Males","Montenegro","Euro","Monthly earnings","10 employees or more","Total","Total","2014","761",""
"Males","North Macedonia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","515",""
"Males","Serbia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","601",""
"Males","Turkey","Euro","Monthly earnings","10 employees or more","Total","Total","2014","764",""
"Females","European Union - 28 countries","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,249",""
"Females","European Union - 27 countries (2007-2013)","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,257",""
"Females","Euro area (19 countries)","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,353",""
"Females","Euro area (18 countries)","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,376",""
"Females","Euro area (17 countries)","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,391",""
"Females","Belgium","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,012",""
"Females","Bulgaria","Euro","Monthly earnings","10 employees or more","Total","Total","2014","397",""
"Females","Czechia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","793",""
"Females","Denmark","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,783",""
"Females","Germany (until 1990 former territory of the FRG)","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,641",""
"Females","Estonia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","906",""
"Females","Ireland","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,433",""
"Females","Greece","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,426",""
"Females","Spain","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,788",""
"Females","France","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,487",""
"Females","Croatia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,005",""
"Females","Italy","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,197",""
"Females","Cyprus","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,662",""
"Females","Latvia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","734",""
"Females","Lithuania","Euro","Monthly earnings","10 employees or more","Total","Total","2014","650",""
"Females","Luxembourg","Euro","Monthly earnings","10 employees or more","Total","Total","2014","4,001",""
"Females","Hungary","Euro","Monthly earnings","10 employees or more","Total","Total","2014","740",""
"Females","Malta","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,563",""
"Females","Netherlands","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,633",""
"Females","Austria","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,364",""
"Females","Poland","Euro","Monthly earnings","10 employees or more","Total","Total","2014","880",""
"Females","Portugal","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,143",""
"Females","Romania","Euro","Monthly earnings","10 employees or more","Total","Total","2014","507",""
"Females","Slovenia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","1,506",""
"Females","Slovakia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","821",""
"Females","Finland","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,912",""
"Females","Sweden","Euro","Monthly earnings","10 employees or more","Total","Total","2014","3,297",""
"Females","United Kingdom","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,724",""
"Females","Iceland","Euro","Monthly earnings","10 employees or more","Total","Total","2014","2,821",""
"Females","Norway","Euro","Monthly earnings","10 employees or more","Total","Total","2014","4,577",""
"Females","Switzerland","Euro","Monthly earnings","10 employees or more","Total","Total","2014","5,324",""
"Females","Montenegro","Euro","Monthly earnings","10 employees or more","Total","Total","2014","692",""
"Females","North Macedonia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","467",""
"Females","Serbia","Euro","Monthly earnings","10 employees or more","Total","Total","2014","543",""
"Females","Turkey","Euro","Monthly earnings","10 employees or more","Total","Total","2014","752",""
